USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
sathwikperla     11317   0.0  0.2 486099264  26832   ??  S    Tue04PM   0:02.48 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=service --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --user-data-dir=/Users/sathwikperla/.gemini/antigravity-browser-profile --shared-files --metrics-shmem-handle=1752395122,r,12002460155175159594,5041076520026391449,524288 --field-trial-handle=1718379636,r,11493920640353229296,6121849228022327904,262144 --disable-features=OfferMigrationToDiceUsers,OptGuideOnDeviceModel --variations-seed-version=20260901-010028.732000-production --pseudonymization-salt-handle=1935764596,r,907923888502759631,10784133496564269163,4 --trace-process-track-uuid=3190708990060038890 --seatbelt-client=42
sathwikperla     11315   0.0  0.3 486140624  46480   ??  S    Tue04PM   0:08.71 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --user-data-dir=/Users/sathwikperla/.gemini/antigravity-browser-profile --shared-files --metrics-shmem-handle=1752395122,r,17126088324056514772,4137781198113464009,524288 --field-trial-handle=1718379636,r,11493920640353229296,6121849228022327904,262144 --disable-features=OfferMigrationToDiceUsers,OptGuideOnDeviceModel --variations-seed-version=20260901-010028.732000-production --pseudonymization-salt-handle=1935764596,r,907923888502759631,10784133496564269163,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=21
sathwikperla     11314   0.0  0.2 486167856  35120   ??  S    Tue04PM   0:07.56 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=gpu-process --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --user-data-dir=/Users/sathwikperla/.gemini/antigravity-browser-profile --gpu-preferences=WAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAADAAAAAEAAAAAAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --shared-files --metrics-shmem-handle=1752395122,r,10628488580768155088,18087691848546318078,262144 --field-trial-handle=1718379636,r,11493920640353229296,6121849228022327904,262144 --disable-features=OfferMigrationToDiceUsers,OptGuideOnDeviceModel --variations-seed-version=20260901-010028.732000-production --pseudonymization-salt-handle=1935764596,r,907923888502759631,10784133496564269163,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=21
sathwikperla     11307   0.0  0.0 485718000   7632   ??  S    Tue04PM   0:00.12 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.65/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/sathwikperla/Library/Application Support/Google/Chrome/Crashpad --metrics-dir=/Users/sathwikperla/Library/Application Support/Google/Chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=152.0.7977.65 --handshake-fd=5
sathwikperla      9586   0.0  0.7 1949239248 114480   ??  S    Tue03PM   8:03.17 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9009 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=324716838893 --shared-files --metrics-shmem-handle=1752395122,r,16238111174766257266,4690614666453532138,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190717428121889135 --seatbelt-client=39
sathwikperla      5916   0.0  0.4 1949226784  63440   ??  S    Tue01AM   0:13.47 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=8788 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=321538385628 --shared-files --metrics-shmem-handle=1752395122,r,11367638085219317567,7495486057325989406,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190717221035640506 --seatbelt-client=44
_cmiodalassistants  1964   0.0  0.0 435327648   2816   ??  Ss   Mon11PM   0:00.18 /usr/sbin/appleh16camerad
sathwikperla     98814   0.0  0.3 1949521584  44048   ??  S    Mon09PM  13:59.60 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=8320 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=307590698640 --shared-files --metrics-shmem-handle=1752395122,r,7238890559656104073,8545660528964474316,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190716782500055174 --seatbelt-client=258
sathwikperla     97515   0.0  0.0 435377616   6416   ??  S    Mon06PM   0:00.89 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
sathwikperla     95391   0.0  0.5 1890550928  86336   ??  S    Mon06PM   0:12.86 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Renderer).app/Contents/MacOS/Antigravity IDE Helper (Renderer) --type=renderer --user-data-dir=/Users/sathwikperla/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Antigravity IDE.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=37 --time-ticks-at-unix-epoch=-1787740864433337 --launch-time-ticks=304333695828 --shared-files --field-trial-handle=1718379636,r,8775314317663338400,4653025010671511419,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190709020982419907 --vscode-window-config=vscode:293693c8-7bf3-45ee-9e65-520453ab5b0b --seatbelt-client=154
sathwikperla     95003   0.0  0.0 435308992    736 s019  Ss+  Mon05PM   0:00.15 /bin/zsh -il
sathwikperla     92311   0.0  0.0 436255920   4160   ??  S    Mon04PM   0:00.28 /Users/sathwikperla/Library/Caches/ms-playwright-go/1.57.0/node /Users/sathwikperla/Library/Caches/ms-playwright-go/1.57.0/package/cli.js run-driver
sathwikperla     92310   0.0  0.0 436320672   7584   ??  S    Mon04PM   0:00.59 chrome-devtools-mcp    
sathwikperla     92290   0.0  0.0 436289056   7552   ??  S    Mon04PM   0:00.54 npm exec chrome-devtools-mcp@latest --autoConnect --no-usage-statistics --no-performance-crux      
sathwikperla     92149   0.0  0.0 435308784    672 s003  Ss+  Mon04PM   0:00.18 /bin/zsh -il
sathwikperla     92133   0.0  0.6 1892240448  92736   ??  S    Mon04PM   9:12.99 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Plugin).app/Contents/MacOS/Antigravity IDE Helper (Plugin) --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --user-data-dir=/Users/sathwikperla/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8775314317663338400,4653025010671511419,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190709016297210662
sathwikperla     92132   0.0  0.3 1892241696  42896   ??  S    Mon04PM   0:26.47 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/sathwikperla/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8775314317663338400,4653025010671511419,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190709015360168813
sathwikperla     91899   0.0  0.6 1949522320  96256   ??  S    Mon04PM  17:49.85 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=7900 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=298857731823 --shared-files --metrics-shmem-handle=1752395122,r,14637467363380484076,12899750353485016347,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190716388942478594 --seatbelt-client=551
sathwikperla     87366   0.0  0.1 435594976  18512   ??  S    Sun10PM   0:02.28 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/universalAccessAuthWarn.app/Contents/MacOS/universalAccessAuthWarn launchd -s
sathwikperla     87095   0.0  0.1 435531088  14752   ??  S    Sun10PM   0:01.95 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
sathwikperla     85292   0.0  0.3 435487728  47232   ??  S    Sun05PM   5:21.42 /System/Library/CoreServices/screencaptureui.app/Contents/MacOS/screencaptureui
sathwikperla     80644   0.0  0.0 436268944   4160   ??  S    Sun04PM   0:02.70 /Users/sathwikperla/Library/Caches/ms-playwright-go/1.57.0/node /Users/sathwikperla/Library/Caches/ms-playwright-go/1.57.0/package/cli.js run-driver
sathwikperla     79705   0.0  0.6 1951285680 108080   ??  S    Sun04PM   2:36.04 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=7069 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=285108473693 --shared-files --metrics-shmem-handle=1752395122,r,2926101706381523761,14488980285317797142,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190715610260702075 --seatbelt-client=300
sathwikperla     65629   0.0  1.0 1890840000 165920   ??  S    Sat04PM  17:54.52 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Renderer).app/Contents/MacOS/Antigravity IDE Helper (Renderer) --type=renderer --user-data-dir=/Users/sathwikperla/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Antigravity IDE.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=13 --time-ticks-at-unix-epoch=-1787740864433337 --launch-time-ticks=261350370489 --shared-files --field-trial-handle=1718379636,r,8775314317663338400,4653025010671511419,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708998493415531 --vscode-window-config=vscode:293693c8-7bf3-45ee-9e65-520453ab5b0b --seatbelt-client=127
sathwikperla     65622   0.0  0.2 435819632  40768   ??  Ss   Sat04PM   1:41.66 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
sathwikperla     65147   0.0  0.0 436320736   7536   ??  S    Sat04PM   0:00.65 chrome-devtools-mcp    
sathwikperla     64942   0.0  0.0 436293568   7488   ??  S    Sat04PM   0:00.83 npm exec chrome-devtools-mcp@latest --autoConnect --no-usage-statistics --no-performance-crux      
sathwikperla     64935   0.0  0.1 435447856  14752   ??  Ss   Sat04PM   0:03.61 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
sathwikperla     64933   0.0  0.4 1892248816  59952   ??  S    Sat04PM   0:35.68 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/sathwikperla/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8775314317663338400,4653025010671511419,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708995682289984
sathwikperla     64930   0.0  0.2 469239072  25168   ??  S    Sat04PM   0:09.53 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper (Plugin).app/Contents/MacOS/Antigravity IDE Helper (Plugin) --type=utility --utility-sub-type=video_capture.mojom.VideoCaptureService --lang=en-GB --service-sandbox-type=none --message-loop-type-ui --user-data-dir=/Users/sathwikperla/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8775314317663338400,4653025010671511419,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708991934122588
sathwikperla     64929   0.0  0.2 469233664  27088   ??  S    Sat04PM   0:09.69 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-GB --service-sandbox-type=audio --message-loop-type-ui --user-data-dir=/Users/sathwikperla/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8775314317663338400,4653025010671511419,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708990997080739 --seatbelt-client=84
sathwikperla     64928   0.0  0.4 437729360  70944   ??  S    Sat04PM   2:47.04 /Applications/Antigravity IDE.app/Contents/Resources/app/extensions/antigravity/bin/language_server_macos_arm --csrf_token 122994c0-bc08-4cf7-b5b4-093e6f4a35a5 --extension_server_port 50458 --extension_server_csrf_token 431d7e3d-1870-4b7f-bdc1-791bf92b6e5a --app_data_dir antigravity-ide --subclient_type ide --cloud_code_endpoint https://cloudcode-pa.googleapis.com
sathwikperla     64894   0.0  0.2 469264784  38560   ??  S    Sat04PM   0:24.42 /Applications/Antigravity IDE.app/Contents/Frameworks/Antigravity IDE Helper.app/Contents/MacOS/Antigravity IDE Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --user-data-dir=/Users/sathwikperla/Library/Application Support/Antigravity IDE --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,8775314317663338400,4653025010671511419,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,LocalNetworkAccessChecks,MacWebContentsOcclusion,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --trace-process-track-uuid=3190708989122997041 --seatbelt-client=33
sathwikperla     64892   0.0  0.0 468939184   6672   ??  S    Sat04PM   0:00.01 /Applications/Antigravity IDE.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=/Users/sathwikperla/Library/Application Support/Antigravity IDE/Crashpad --annotation=_companyName=Google --annotation=_productName=Antigravity IDE --annotation=_version=1.107.0 --annotation=plat=OS X --annotation=prod=Electron --annotation=ver=39.2.3 --handshake-fd=21
sathwikperla     64889   0.0  1.5 1892773952 254256   ??  S    Sat04PM  12:41.82 /Applications/Antigravity IDE.app/Contents/MacOS/Electron
root             46099   0.0  0.1 412007184   9680   ??  Ss   Sat01AM   0:00.44 /Library/PrivilegedHelperTools/com.adobe.ARMDC.SMJobBlessHelper
root             46098   0.0  0.1 411104016   9728   ??  Ss   Sat01AM   0:00.31 /Library/PrivilegedHelperTools/com.adobe.ARMDC.Communicator
root             45575   0.0  0.0 435344080   6944   ??  Ss   Sat01AM   0:14.23 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
sathwikperla     40961   0.0  0.0 435234352   1392   ??  S    Sat12AM   0:00.40 /usr/bin/ssh-agent -l
sathwikperla     22682   0.0  0.0 468938608   6640   ??  S    28Aug26   0:00.02 /Applications/Antigravity IDE.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=/Users/sathwikperla/Library/Application Support/Antigravity IDE/Crashpad --annotation=_companyName=Google --annotation=_productName=Antigravity IDE --annotation=_version=1.107.0 --annotation=plat=OS X --annotation=prod=Electron --annotation=ver=39.2.3 --handshake-fd=21
root             22352   0.0  0.0 435322576   3136   ??  Ss   28Aug26   0:00.85 /usr/sbin/BTLEServer
sathwikperla     22037   0.0  0.1 435386704  10288   ??  Ss   28Aug26   0:03.59 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/PlugIns/QLPreviewGenerationExtension.appex/Contents/MacOS/QLPreviewGenerationExtension -AppleLanguages ("en-IN")
sathwikperla     13668   0.0  0.1 435362096  14512   ??  S    27Aug26   0:18.37 /System/Library/CoreServices/audioaccessoryd
_mds_stores       8341   0.0  0.0 435358048   4128   ??  Ss   27Aug26   0:03.27 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
sathwikperla      6941   0.0  0.1 435375408  19152   ??  S    27Aug26   0:10.95 /Applications/Grammarly Desktop.app/Contents/Library/LaunchAgents/Grammarly Desktop Helper.app/Contents/MacOS/Grammarly Desktop Helper
sathwikperla      6877   0.0  0.4 1949428176  62400   ??  S    27Aug26   1:30.42 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4279 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=193755835447 --shared-files --metrics-shmem-handle=1752395122,r,15006273069442904004,3521977989649735498,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190712995913943365 --seatbelt-client=98
sathwikperla     89492   0.0  0.1 435372048  13136   ??  S    26Aug26   0:27.34 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
sathwikperla     86680   0.0  0.1 435364816   9088   ??  S    26Aug26   0:58.39 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
sathwikperla     82867   0.0  0.1 435447264  11568   ??  Ss   25Aug26   0:07.29 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
sathwikperla     77736   0.0  0.0 435358480   4384   ??  S    25Aug26   0:03.46 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
sathwikperla     77045   0.0  1.0 1967043248 169232   ??  S    24Aug26   9:11.51 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=2258 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=144934297340 --shared-files --metrics-shmem-handle=1752395122,r,11040414385145249566,9082305604068481026,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190711102152366536 --seatbelt-client=197
